gene_name,indices
PIGV,163
HDAC7,164
MRPS35,165
BTN3A1,166
APPBP2,167
RPL18,168
CA11,169
ISOC2,170
EPN1,171
CD22,172
GSC2,173
ZFY,174
HDHD5,175
KCNQ1,176;204777
TRIB2,177
OTUD5,178;275172
GPKOW,179;275128
AQR,180
KLK13,181
KLK14,182
ST6GALNAC1,183
MBD3,184
LMCD1,185
PSMC4,186;198991
FNDC8,187
CAMKK1,188
FAM50A,189
ACAP1,190;242354
DERL2,191
NOX3,192
ANO8,193
KDM4B,194
PANX2,195
ICAM3,196
CAMSAP3,197
CTTNBP2,198
ACTL6B,199
FAM135B,200
CIC,201
KIF22,202
PRSS22,203;213726
CEACAM1,204
YTHDC2,205
TMEM161A,206
BCAR1,207
FOXJ2,208
TNFRSF1A,209
GOLGA5,210
METTL22,211
CELSR3,212
PPP2R5B,213
PYGM,214
BCL3,215
KCNAB2,216
PIGB,217
PDZD4,218
NPIPB4,219;211068
PRLH,220
REEP1,221
FSTL3,222
EPHA8,223
TRIP13,224
P4HA2,225
VASH1,226
PDCD2,227
LLGL2,228
KRT14,229
KRT20,230;164853
ARHGEF10L,231
SPP2,232
HSD17B10,233
FGF4,234
RGS11,235
NMRK2,236
MASP1,237;273462
ST6GAL1,238
TIMM21,239
BPIFB2,240
REXO1,241
MKRN2,242
GPATCH1,243
IL4R,244
KEAP1,245
P2RY10,246
TNS1,247
NGFR,248
NTN1,249
ISOC1,250
KLF6,251
TRO,252
MNT,253
LAPTM4A,254
ADAM7,255
ASNS,256
PTPN18,257
DRD4,258;188629
SCT,259;196611
ALDH3A2,260
STK10,261
ALPK1,262
TBX21,263
MRPS34,264
CA12,265
MAP2K5,266
TIGAR,267
FGF20,268
MTMR7,269
CPB2,270
FAM107B,271
CDK13,272
TSPAN32,273
FAR2,274
TRAM2,275
CLDN18,276
ROPN1,277
NDUFB4,278
HEATR6,279
ERLEC1,280
CLIC5,281
TMEM131,282;273501
ARPP21,283
CEACAM21,284;188317
TMEM38A,285
PVR,286
ZNF222,287
PSG6,288
ACTR6,289
SLC25A3,290
NR1H4,291
FAP,292
NFKB2,293
MUSK,294
DMRT3,295
OSBPL6,296
CCN5,297
CTSA,298
ANKRD16,299
GAL3ST2,300;187580
BLTP3A,301
OSTM1,302
IMPG2,303
ACTN1,304
NAIP,305;187602;190958
DELE1,306
SLC13A1,307
PCDHB4,308;273818
PCDHB2,309;273805
IFT25,310
STRADB,311
FAM135A,312
DLG3,313
SEMA5B,314
SNAP91,315
PLOD1,316
TDRD3,317
OXCT1,318
ZNF324,319
ZNF416,320
RPS5,321
FAM234B,322
PILRA,323
RRN3,324;191962
MOGAT2,325
CHERP,326
AQP2,327
DIMT1,328
EIF2AK1,329
NME8,330
EPDR1,331
MRPL28,332
HBQ1,333
CEACAM6,334
RBM22,335
HSD17B2,336
MAP2,337
ZW10,338
ITGB4,339
PPP1R15A,340
TRIP6,341
ADAM11,342
LAMP2,343
SLC22A4,344
CETP,345
MT3,346
PTHLH,347
TFAP2C,348
SULT2B1,349
EPS8L1,350
CACNB4,351
NOL4L,352
DNMT3B,353
REM1,354
PDRG1,355
EPB41L1,356
PPP1R13B,357
TGM6,358
RALGAPA2,359
RPL6,360
ESF1,361
SLC8B1,362
TMEM230,363
